province;red;green;blue;name;x
1;170;57;57;Imperial Isle;x
2;190;40;40;Nikel;x
3;180;50;50;Aleswell;x
4;200;30;30;Caractacus;x
5;210;20;20;Urasek;x
6;220;10;10;Magia;x
7;230;0;0;Sejanus;x
8;160;65;65;Alessia;x
9;170;100;60;Variela;x
10;170;90;60;Bravil;x
11;170;110;50;Irony;x
12;190;180;110;Nomore;x
13;190;180;90;Leyawiin;x
14;190;180;70;Deepscorn;x
15;190;180;50;Redman;x
16;190;180;30;Veyond;x
17;190;180;10;Teleman;x
18;180;200;120;Flecia;x
19;180;200;110;Aurus;x
20;180;200;100;Dunstad;x
21;180;200;90;Facian;x
22;180;200;80;Entius;x
23;180;200;70;Karthspire;x
24;180;200;60;Redwater;x
25;210;160;150;Horunn;x
26;210;160;130;Chalman;x
27;210;160;120;Frostcrag;x
28;210;160;90;Toadstool;x
29;150;180;160;Jerall;x
30;150;180;150;Farragut;x
31;150;180;140;Cheydinhal;x
32;150;180;130;Naso;x
33;150;180;120;Scinia;x
34;220;85;130;Alftand;x
35;220;85;120;Roebeck;x
36;220;85;110;Blackboot;x
37;220;85;100;Vlastarus;x
38;220;85;90;Skingrad;x
39;220;85;80;Gottlesfont;x
40;200;180;200;Shorstone;x
41;200;180;180;Ash;x
42;200;180;160;Coldcorn;x
43;200;180;140;Sancre Tor;x
44;200;180;120;Rayles;x
45;200;180;100;Chorrol;x
46;190;220;200;Ontus;x
47;190;220;180;Dirich;x
48;190;220;160;Istirus;x
49;190;220;140;Kvatch;x
50;190;220;120;Linchal;x
51;250;250;150;Hastrel;x
52;250;250;140;Sutch;x
53;250;250;130;Crowhaven;x
54;255;255;120;Wariel;x
55;250;250;110;Ansilvund;x
56;255;255;110;Anvil;x
57;250;250;90;Bruma;x
58;100;75;80;Bitter Coast;x
59;100;75;70;Pelagiad;x
60;100;75;60;West Gash;x
61;100;75;50;Ashlands;x
62;100;75;40;Sheogorad;x
63;100;75;30;Grazelands;x
64;100;75;20;Azura's Coast;x
65;100;75;10;Molag Amur;x
66;90;110;100;Hirstaang;x
67;90;110;80;Moesring;x
68;90;110;60;Felsaad;x
69;250;250;120;Firsthold;x
70;250;250;100;Lillwood;x
71;250;250;80;Dusk;x
72;250;250;60;Sunhold;x
73;250;250;40;Alinor;x
74;250;250;20;Shimmerene;x
75;250;250;0;Cloudrest;x
76;250;240;0;Lillandril;x
77;255;100;0;Telvannis;x
78;255;100;10;Firewatch;x
79;255;100;20;Praloris;x
80;255;100;30;Alt Bosara;x
81;255;100;40;Dragonglade;x
82;255;100;50;Necrom;x
83;255;100;60;Darvon;x
84;255;100;70;Salen Vulgate;x
85;255;100;80;Bosmora;x
86;255;100;90;Aldsotha;x
87;255;100;100;Almalexia;x
88;255;100;110;Tear;x
89;255;100;120;Ebonheart;x
90;255;100;130;Olthrenis;x
91;255;100;140;Sotha Sil;x
92;255;100;150;Narsis;x
93;255;100;160;Andrethis;x
94;255;100;170;Kragenmoor;x
95;255;100;180;Balfalls;x
96;255;100;190;Bodrum;x
97;255;100;200;Omayni;x
98;255;100;210;Blacklight;x
99;255;100;220;Silgrad;x
100;255;100;230;Ganaris;x
101;255;100;240;Soluthis;x
102;50;150;0;Soulrest;x
103;50;150;10;Rock Grove;x
104;50;150;20;Stonewastes;x
105;50;150;30;Gideon;x
106;50;150;40;Glenbridge;x
107;50;150;50;Stormhold;x
108;50;150;60;Tenmar Wall;x
109;50;150;70;Helstrom;x
110;50;150;80;Thorn;x
111;50;150;90;Corimont;x
112;50;150;100;Riverwalk;x
113;50;150;110;Chasecreek;x
114;50;150;120;Branchmont;x
115;50;150;130;Seafalls;x
116;50;150;140;Archon;x
117;50;150;150;Rockpark;x
118;50;150;160;Lilmoth;x
119;50;150;170;Blackrose;x
120;50;150;180;Moonmarch;x
121;50;150;190;Murkwood;x
122;50;150;200;Rockspring;x
123;50;150;210;Greenspring;x
124;50;150;220;Markmont;x
125;50;150;230;Greenglade;x
126;50;150;240;Rockpoint;x
127;150;150;250;Riften;x
128;140;150;250;Bthalft;x
129;130;150;250;Ivarstead;x
130;120;150;250;Windhelm;x
131;110;150;250;Eastmarch;x
132;100;150;250;Winterhold;x
133;90;150;250;Winterwind;x
134;80;150;250;Falkreath;x
135;70;150;250;Helgen;x
136;60;150;250;Riverwood;x
137;50;150;250;Greymoor;x
138;40;150;250;Bannermist;x
139;30;150;250;Dawnstar;x
140;20;150;250;Scarstone;x
141;10;150;250;Whiterun;x
142;0;150;250;Morthal;x
143;0;160;250;Solitude;x
144;0;170;250;Northwatch;x
145;0;180;250;Dragon's Bridge;x
146;0;190;250;Volskygge;x
147;0;200;250;Karthwasten;x
148;0;210;250;Markarth;x
149;0;220;250;Reachcliff;x
150;0;230;250;Sungard;x
151;0;240;250;Rorikstead;x
152;250;50;120;Daggerfall;x
153;250;60;120;Ilessan;x
154;250;70;120;Anticlere;x
155;250;80;120;Urvaius;x
156;250;90;120;Bhoriane;x
157;250;100;120;Daenia;x
158;250;110;120;Dwynnen;x
159;250;120;120;Camlorn;x
160;250;130;120;Kambria;x
161;250;140;120;Koegria;x
162;250;150;120;Firebrand;x
163;250;160;120;Wayrest;x
164;250;170;120;Gauvadon;x
165;250;180;120;Northpoint;x
166;58;52;36;Ascadian Isles;x
167;250;190;120;Normar;x
168;250;200;120;Phrygias;x
169;250;210;120;Whitehaven;x
170;250;220;120;Darguard;x
171;250;230;120;Sharnhelm;x
172;250;240;120;Portdun;x
173;250;250;125;Markwasten;x
174;250;255;120;Jehenna;x
175;250;230;130;Farrun;x
176;250;230;140;Azra's Crossing;x
177;250;230;150;Evermore;x
178;250;230;160;Dunkarn;x
179;250;230;170;Ravenspring;x
180;250;230;180;Dunlain;x
181;120;150;50;Stros M'Kai;x
182;120;140;50;Hegathe;x
183;120;130;50;Roa;x
184;120;120;50;Sentinel;x
185;120;110;50;Gilane;x
186;120;100;50;Hew's Bane;x
187;120;90;50;Shady March;x
188;120;80;50;Lainlyn;x
189;120;70;50;Totambu;x
190;120;60;50;Rihad;x
191;120;50;50;Taneth;x
192;120;40;50;Roseguard;x
193;120;30;50;Elinhir;x
194;120;20;50;Stonemoor;x
195;120;10;50;Nimbel;x
196;120;0;50;Stonedale;x
197;120;0;60;Dragonstar;x
198;120;0;70;Belkarth;x
199;120;0;80;Thorstad;x
200;120;0;90;Karnver;x
201;120;0;100;Heldorn;x
202;120;0;110;Verkarth;x
203;120;0;120;Skaven;x
204;120;0;130;Riverpoint;x
205;120;0;140;Northall;x
206;120;0;150;Vulkneu;x
207;60;50;90;Zafirbel;x
208;175;180;25;Torval;x
209;175;170;25;Darvulk;x
210;175;160;25;Markgran;x
211;175;150;25;Senchal;x
212;175;140;25;Chasegrove;x
213;175;130;25;Portneu;x
214;175;120;25;Heimthor;x
215;175;110;25;Corinth;x
216;175;100;25;Blackheights;x
217;175;90;25;Mehmet;x
218;175;80;25;Alabaster;x
219;175;70;25;Duncori;x
220;175;60;25;Darkarn;x
221;175;50;25;Brukreich;x
222;175;40;25;Rimmen;x
223;175;30;25;Valleygard;x
224;175;20;25;Verkarth Hills;x
225;175;10;25;Dune;x
226;175;0;25;Cori Darglade;x
227;175;0;35;Tardorn;x
228;175;0;45;Orcrest;x
229;175;0;55;Ein Meirvale;x
230;175;0;65;Helkarn;x
231;175;0;75;Greenvale;x
232;175;0;85;Riverhold;x
233;175;0;95;Meir Lynmount;x
234;176;3;93;Glenpoint;x
235;177;4;94;Balfiera;x
236;50;145;50;Arenthia;x
237;40;145;50;Ebon Ro;x
238;30;145;50;Skyshroud;x
239;20;145;50;Stonefall;x
240;10;145;50;Vulkwasten;x
241;0;145;50;Silvenar;x
242;50;145;45;Emperor's Run;x
243;50;145;40;Bal Fall;x
244;50;145;30;Haven;x
245;50;145;20;Cormair;x
246;50;145;10;Southpoint;x
247;50;145;0;Eaglevale;x
248;35;145;50;Heimdar;x
249;25;145;50;Kathdar;x
250;15;145;50;Lympar;x
251;5;145;50;Wasten Brukbrook;x
252;15;145;15;Elden Root;x
253;25;145;15;Tarlain;x
254;35;145;15;Jathsogur;x
255;45;145;15;Marbruk;x
256;55;145;15;Falinesti;x
257;65;145;15;Longvale;x
258;75;145;15;Cori Silmoor;x
259;85;145;15;Gladdenpoint;x
260;95;145;15;Greenheart;x
261;105;145;15;Woodhearth;x
262;115;145;15;Bouldertree;x
263;125;145;15;Longhaven;x
264;135;145;15;Elden Grove;x
265;145;145;15;Diss;x
266;250;230;190;Cloud Spring;x
267;255;245;16;Westguard;x
268;255;235;16;Vulkhel;x
269;255;225;16;Karndar;x
270;255;215;16;King's Watch;x
271;255;205;16;Corgrad;x
272;255;195;16;Sea Keep;x
273;255;185;16;Ebon Stadmont;x
274;255;175;16;Riverfield;x
275;255;165;16;Riverwatch;x
276;255;155;16;Marnor;x
277;255;145;16;Glenview;x
278;255;135;16;Rosefield;x
279;255;125;16;Silverwood;x
280;255;115;16;Thorheim;x
281;255;105;16;Stirk;x
282;255;95;16;Strand;x
283;255;85;16;Hackdirt;x
284;255;75;16;Shardrock;x
285;255;65;16;Carmala;x
286;255;55;16;Nonwyll;x
287;255;45;16;Haynote;x
288;255;35;16;Brindlehome;x
289;255;25;16;Weye;x
290;255;15;16;Homestead;x
291;255;5;16;Harcane;x
292;255;0;16;Bulwark;x
293;255;5;23;Blackwood;x
294;255;15;23;Cedrian;x
295;255;25;23;Sundercliff;x
296;255;35;23;Harlun;x
297;255;45;23;Kingscrest;x
298;255;55;23;Cloudruler;x
299;255;65;23;Frostfire;x
300;255;75;23;Irmgard;x
301;255;85;23;Senardorn;x
302;255;95;23;Alcoa;x
303;255;105;23;Rkund;x
304;255;115;23;Forelhost;x
305;255;125;23;Nilheim;x
306;255;135;23;Mistwatch;x
307;255;145;23;Morvunskar;x
308;255;155;23;Amol;x
309;255;165;23;Fellhammer;x
310;255;175;23;Frostflow;x
311;255;185;23;Kastav;x
312;255;195;23;Ironbind;x
313;255;205;23;Saarthal;x
314;255;215;23;Ravenscar;x
315;255;225;23;Snowhawk;x
316;255;235;23;Hraggstad;x
317;255;245;23;Haalfingar;x
318;255;255;23;Highgate;x
319;0;23;255;Coldrock;x
320;10;23;255;Orotheim;x
321;20;23;255;Ustungrav;x
322;30;23;255;Skyborn;x
323;40;23;255;Eldersblood;x
324;50;23;255;Harmugstalh;x
325;60;23;255;Bleakwind;x
326;70;23;255;Sunderstone;x
327;80;23;255;Brittleshin Pass;x
328;90;23;255;Glenmoril;x
329;100;23;255;Neugrad;x
330;110;23;255;;x
331;120;23;255;Greywinter;x
332;130;23;255;Fellglow;x
333;140;23;255;Shearpoint;x
334;150;23;255;Korvanjund;x
335;160;23;255;Volunruud;x
336;170;23;255;Chasepoint;x
337;180;23;255;Blackmarsh;x
338;190;23;255;Rockguard;x
339;200;23;255;Felmarsh;x
340;210;23;255;Riverbridge;x
341;220;23;255;Padomeic;x
342;230;23;255;;x
343;240;23;255;Blackhaven;x
344;250;23;255;Seaspring;x
345;255;23;255;Meirhall;x
